Year,State,Energy_Source,Value,Renewable,Value_Normalized
2008,New South Wales,Black coal,67650.3,False,0.019460997486047262
2009,New South Wales,Black coal,64398.6,False,0.018260595132538224
2010,New South Wales,Black coal,60732.2,False,0.01703301418740068
2011,New South Wales,Black coal,60453.7,False,0.016773135105230066
2012,New South Wales,Black coal,56798.6,False,0.015561111057839172
2013,New South Wales,Black coal,55819.495,False,0.015093611250817962
2014,New South Wales,Black coal,52562.2,False,0.014016358667232345
2015,New South Wales,Black coal,55334.499,False,0.014549117618987147
2016,New South Wales,Black coal,55967.139,False,0.014479149295499179
2017,New South Wales,Black coal,57022.151,False,0.01454164089928317
2018,New South Wales,Black coal,57734.932,False,0.014519886748019373
2019,New South Wales,Black coal,53566.67,False,0.013326706469315322
2020,New South Wales,Black coal,50790.813,False,0.012626803746960815
2021,New South Wales,Black coal,46958.795,False,0.011662620491173831
2022,New South Wales,Black coal,45602.768,False,0.011120413108025329
2008,New South Wales,Brown coal,0.0,False,0.0
2009,New South Wales,Brown coal,0.0,False,0.0
2010,New South Wales,Brown coal,0.0,False,0.0
2011,New South Wales,Brown coal,0.0,False,0.0
2012,New South Wales,Brown coal,0.0,False,0.0
2013,New South Wales,Brown coal,0.0,False,0.0
2014,New South Wales,Brown coal,0.0,False,0.0
2015,New South Wales,Brown coal,0.0,False,0.0
2016,New South Wales,Brown coal,0.0,False,0.0
2017,New South Wales,Brown coal,0.0,False,0.0
2018,New South Wales,Brown coal,0.0,False,0.0
2019,New South Wales,Brown coal,0.0,False,0.0
2020,New South Wales,Brown coal,0.0,False,0.0
2021,New South Wales,Brown coal,0.0,False,0.0
2022,New South Wales,Brown coal,0.0,False,0.0
2008,New South Wales,Natural gas,2445.1,False,0.0007033832067726847
2009,New South Wales,Natural gas,4681.3,False,0.0013274096640913187
2010,New South Wales,Natural gas,4742.7,False,0.0013301424349288385
2011,New South Wales,Natural gas,4212.1,False,0.0011686649845541227
2012,New South Wales,Natural gas,5168.7,False,0.001416068613040697
2013,New South Wales,Natural gas,5528.3,False,0.001494854281248817
2014,New South Wales,Natural gas,4528.39,False,0.001207551023836679
2015,New South Wales,Natural gas,4628.561,False,0.001216989032387494
