Year,State,Population
1981.0,NSW,2608351
1981.0,NSW,2616060
1981.0,NSW,2624579
1982.0,NSW,2634534
1982.0,NSW,2643527
1982.0,NSW,2649615
1982.0,NSW,2655478
1983.0,NSW,2663858
1983.0,NSW,2668049
1983.0,NSW,2673036
1983.0,NSW,2678250
1984.0,NSW,2685607
1984.0,NSW,2692083
1984.0,NSW,2699019
1984.0,NSW,2706580
1985.0,NSW,2716617
1985.0,NSW,2723253
1985.0,NSW,2730142
1985.0,NSW,2739325
1986.0,NSW,2749467
1986.0,NSW,2756990
1986.0,NSW,2765810
1986.0,NSW,2777230
1987.0,NSW,2788076
1987.0,NSW,2798066
1987.0,NSW,2809476
1987.0,NSW,2822255
1988.0,NSW,2834126
1988.0,NSW,2842852
1988.0,NSW,2854584
1988.0,NSW,2865373
1989.0,NSW,2874052
1989.0,NSW,2876807
1989.0,NSW,2881220
1989.0,NSW,2889741
1990.0,NSW,2897622
1990.0,NSW,2905892
1990.0,NSW,2913176
1990.0,NSW,2918868
1991.0,NSW,2929101
1991.0,NSW,2936262
1991.0,NSW,2944740
1991.0,NSW,2949765
1992.0,NSW,2958748
1992.0,NSW,2964164
1992.0,NSW,2970307
1992.0,NSW,2973116
1993.0,NSW,2979175
1993.0,NSW,2981014
1993.0,NSW,2987977
1993.0,NSW,2992409
1994.0,NSW,3000720
1994.0,NSW,3004486
1994.0,NSW,3013654
1994.0,NSW,3017659
1995.0,NSW,3025280
1995.0,NSW,3033790
1995.0,NSW,3042890
1995.0,NSW,3051661
1996.0,NSW,3059051
1996.0,NSW,3066993
1996.0,NSW,3076091
1996.0,NSW,3084364
1997.0,NSW,3094095
1997.0,NSW,3099735
1997.0,NSW,3107087
1997.0,NSW,3113586
1998.0,NSW,3123941
1998.0,NSW,3128919
1998.0,NSW,3137920
1998.0,NSW,3145134
1999.0,NSW,3155835
1999.0,NSW,3163238
1999.0,NSW,3172361
1999.0,NSW,3180554
2000.0,NSW,3191864
2000.0,NSW,3199392
2000.0,NSW,3209563
2000.0,NSW,3218964
2001.0,NSW,3233305
2001.0,NSW,3241835
2001.0,NSW,3248935
2001.0,NSW,3254898
2002.0,NSW,3263556
2002.0,NSW,3265784
2002.0,NSW,3270112
2002.0,NSW,3273797
2003.0,NSW,3281607
2003.0,NSW,3283709
2003.0,NSW,3286954
2003.0,NSW,3289793
2004.0,NSW,3296562
2004.0,NSW,3297397
2004.0,NSW,3301919
2004.0,NSW,3305332
2005.0,NSW,3313555
2005.0,NSW,3316494
2005.0,NSW,3323084
2005.0,NSW,3327461
2006.0,NSW,3336005
2006.0,NSW,3339035
2006.0,NSW,3351254
2006.0,NSW,3361292
2007.0,NSW,3376796
2007.0,NSW,3387138
2007.0,NSW,3401126
2007.0,NSW,3413653
2008.0,NSW,3432731
2008.0,NSW,3445097
2008.0,NSW,3460648
2008.0,NSW,3476199
2009.0,NSW,3492115
2009.0,NSW,3502936
2009.0,NSW,3515766
2009.0,NSW,3526643
2010.0,NSW,3540212
2010.0,NSW,3548107
2010.0,NSW,3557269
2010.0,NSW,3565558
2011.0,NSW,3577883
2011.0,NSW,3585109
2011.0,NSW,3594974
2011.0,NSW,3604198
2012.0,NSW,3617039
2012.0,NSW,3626400
2012.0,NSW,3637647
2012.0,NSW,3650035
2013.0,NSW,3664409
2013.0,NSW,3674410
2013.0,NSW,3687294
2013.0,NSW,3698220
2014.0,NSW,3714264
2014.0,NSW,3724215
2014.0,NSW,3737719
2014.0,NSW,3750061
2015.0,NSW,3766915
2015.0,NSW,3776574
2015.0,NSW,3790716
2015.0,NSW,3803289
2016.0,NSW,3821409
2016.0,NSW,3833807
2016.0,NSW,3851341
2016.0,NSW,3865361
2017.0,NSW,3884979
2017.0,NSW,3896830
2017.0,NSW,3912293
2017.0,NSW,3921301
2018.0,NSW,3939656
2018.0,NSW,3950763
2018.0,NSW,3966560
2018.0,NSW,3976266
2019.0,NSW,3991886
2019.0,NSW,3999452
2019.0,NSW,4011787
2019.0,NSW,4019498
2020.0,NSW,4031001
2020.0,NSW,4030710
2020.0,NSW,4025030
2020.0,NSW,4022460
2021.0,NSW,4022559
2021.0,NSW,4025393
2021.0,NSW,4019892
2021.0,NSW,4026436
2022.0,NSW,4044454
2022.0,NSW,4059763
2022.0,NSW,4080284
2022.0,NSW,4100816
2023.0,NSW,4128351
2023.0,NSW,4149486
2023.0,NSW,4175956
2023.0,NSW,4191921
2024.0,NSW,4212478
1981.0,Victoria,1958717
1981.0,Victoria,1964139
1981.0,Victoria,1969349
1982.0,Victoria,1975617
1982.0,Victoria,1981619
1982.0,Victoria,1986589
1982.0,Victoria,1991532
1983.0,Victoria,1997990
1983.0,Victoria,2003140
1983.0,Victoria,2007981
1983.0,Victoria,2012443
1984.0,Victoria,2018217
1984.0,Victoria,2023349
1984.0,Victoria,2028241
1984.0,Victoria,2033611
1985.0,Victoria,2039883
1985.0,Victoria,2045027
1985.0,Victoria,2050054
1985.0,Victoria,2055418
1986.0,Victoria,2060732
1986.0,Victoria,2065739
1986.0,Victoria,2071040
1986.0,Victoria,2076705
1987.0,Victoria,2083552
1987.0,Victoria,2089786
1987.0,Victoria,2096699
1987.0,Victoria,2102763
1988.0,Victoria,2110504
1988.0,Victoria,2116566
1988.0,Victoria,2125227
1988.0,Victoria,2132228
1989.0,Victoria,2139405
